date,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
01/01/2015 00:00,,13.1,8,4.2,,,3.7,4.5,,5.6,,,,
01/01/2015 01:00,,12.9,7.3,4,,,4,5.5,,5.8,,,,
01/01/2015 02:00,,11.6,7.7,3.8,,,4.5,5,,5.9,,,,
01/01/2015 03:00,,11.8,8.5,3.5,,,4.9,4.3,,5.7,,,,
01/01/2015 04:00,,11.1,8,3.6,,,4.3,3.7,,5.7,,,,
01/01/2015 05:00,,8.9,7.4,2.9,,,3.3,4.4,,5.6,,,,
01/01/2015 06:00,,8.4,7.3,2.6,,,2.5,4.3,,5.5,,,,
01/01/2015 07:00,,9.8,7.4,2.6,,,3.2,3.7,,5.5,,,,
01/01/2015 08:00,,10.2,7.2,2.5,,,3,5.1,,5.1,,,,
01/01/2015 09:00,,8.2,6.8,2.3,,,3.5,4.9,,4.9,,,,
01/01/2015 10:00,,8.3,7,2.6,,,3.6,6.4,,5,,,,
01/01/2015 11:00,,8.9,7.5,3,,,6.8,5.1,,4.8,,,,
01/01/2015 12:00,,10.1,9.6,3.8,,,6.2,6.3,,5.3,,,,
01/01/2015 13:00,,12.3,9.8,4.4,,,6,6.1,,7.1,,,,
01/01/2015 14:00,,13.5,11.2,5.1,,,10.3,6.5,,7.5,,,,
01/01/2015 15:00,,12.8,12.5,5.6,,,11.7,6.1,,8.2,,,,
01/01/2015 16:00,,14,12.7,5.9,,,10.1,6.7,,9,,,,
01/01/2015 17:00,,17.7,13,5.4,,,10.8,8.8,,8.9,,,,
01/01/2015 18:00,,18.6,12.8,5.5,,,10.5,11.6,,9,,,,
01/01/2015 19:00,,18,11.4,4.9,,,8.4,14,,8.8,,,,
01/01/2015 20:00,,11.6,7.6,4.3,,,8.1,13.5,,8.3,,,,
01/01/2015 21:00,,11.3,6.8,3.4,,,7.7,13.1,,6.6,,,,
01/01/2015 22:00,,11.3,6.2,3.4,,,7.1,10.2,,5.7,,,,
01/01/2015 23:00,,9.9,6,3.1,,,7.1,9.3,,5.2,,,,
02/01/2015 00:00,,8.1,6.6,3.2,,,6.5,9.6,,5.2,,,,
02/01/2015 01:00,,9.4,6.4,3.2,,,4.8,9.8,,5.1,,,,
02/01/2015 02:00,,8.5,6.3,2.9,,,2.5,6.6,,4.8,,,,
02/01/2015 03:00,,7.6,5.4,2.8,,,2.6,3.6,,4.5,,,,
02/01/2015 04:00,,7.8,5,2.4,,,2.7,4.8,,4.5,,,,
02/01/2015 05:00,,8.5,5.7,2.8,,,3.1,4.8,,4.7,,,,
02/01/2015 06:00,,11.2,6.1,3,,,5.1,4.7,,4.8,,,,
02/01/2015 07:00,,12.3,6.5,3,,,6.5,5.9,,4.7,,,,
02/01/2015 08:00,,12.8,7,3.1,,,7.4,6.8,,5.2,,,,
02/01/2015 09:00,,12.6,8.2,3.4,,,7.6,8.7,,5.5,,,,
02/01/2015 10:00,,11.2,9,3.6,,,8.2,7.8,,6.2,,,,
02/01/2015 11:00,,11.9,8.6,4.2,,,7.4,6.4,,6.9,,,,
02/01/2015 12:00,,12.2,9.7,4.6,,,9.2,7.9,,6.8,,,,
02/01/2015 13:00,,14.9,10.6,4.6,,,11,12.7,,7.7,,,,
02/01/2015 14:00,,15.5,11.6,4.3,,,11.3,14.6,,8.7,,,,
02/01/2015 15:00,,15.5,11.4,5,,,10.7,16.1,,8.8,,,,
02/01/2015 16:00,,16.9,10.8,4.8,,,10.3,18.9,,9,,,,
02/01/2015 17:00,,19.9,9.8,4.6,,,11.3,20.5,,9.1,,,,
02/01/2015 18:00,,15.5,7.1,5,,,12.3,23.9,,7.8,,,,
02/01/2015 19:00,,14.7,6.8,5,,,11.5,23.4,,6.5,,,,
02/01/2015 20:00,,15.3,7.2,4.5,,,9.7,20.7,,6.1,,,,
02/01/2015 21:00,,16.3,7.1,4.1,,,9.4,17.2,,6.1,,,,
02/01/2015 22:00,,15.9,7.9,4,,,9.3,15.7,,6.5,,,,
02/01/2015 23:00,,15,8.2,4,,,8.1,13.6,,6.1,,,,
03/01/2015 00:00,,11.9,8.3,3.8,,,6.2,10.4,,6,,,,
03/01/2015 01:00,,11,8.3,3.1,,,5.4,8.4,,6.4,,,,
03/01/2015 02:00,,9.7,7.2,3.1,,,6.4,7.5,,7,,,,
03/01/2015 03:00,,12,7.2,3.1,,,7.3,7.9,,8.2,,,,
03/01/2015 04:00,,13.5,9.5,4.4,,,7.5,8.5,,8.4,,,,
03/01/2015 05:00,,14.9,10.4,4.4,,,8.3,10.2,,8.7,,,,
03/01/2015 06:00,,18.6,11.4,4.1,,,11,16.6,,7.9,,,,
03/01/2015 07:00,,17.7,12.7,4.1,,,11.5,22.8,,7.8,,,,
03/01/2015 08:00,,18,12.5,4.1,,,,23,,7.8,,,,
03/01/2015 09:00,,15.7,14.8,4.4,,,,20.3,,7.8,,,,
03/01/2015 10:00,,14.7,14.8,5.6,,,,18.5,,9.4,,,,
03/01/2015 11:00,,14.8,13.4,5.2,,,,14.5,,10.2,,,,
03/01/2015 12:00,,14.1,14.8,4.6,,,,12.1,,11.1,,,,
03/01/2015 13:00,,13,17,6.2,,,6.8,11.1,,11.7,,,,
03/01/2015 14:00,,12.7,13.9,6.2,,,6.1,10.7,,12.2,,,,
03/01/2015 15:00,,18.1,16.2,7,,,6.8,10,,11.3,,,,
03/01/2015 16:00,,29.7,20.6,9.3,,,10.9,11.3,,14.1,,,,
03/01/2015 17:00,,37.2,20.1,10.8,,,14.5,17.2,,15.9,,,,
03/01/2015 18:00,,39.8,18.2,10.9,,,19.6,27.6,,13.1,,,,
03/01/2015 19:00,,36.9,19.4,9.7,,,20.2,32.8,,12.6,,,,
03/01/2015 20:00,,27.4,19,8.8,,,21.6,39.4,,14.3,,,,
03/01/2015 21:00,,26.6,14.4,8.2,,,19.6,42.9,,12.7,,,,
03/01/2015 22:00,,27.9,15.3,7.9,,,18.2,51.2,,11.7,,,,
03/01/2015 23:00,,29,17.2,5.7,,,16.8,50.9,,13.9,,,,
04/01/2015 00:00,,25.6,16.2,5.2,,,13.6,44.3,,11.7,,,,
04/01/2015 01:00,,22.4,20.2,5.3,,,12.5,32.6,,11.3,,,,
04/01/2015 02:00,,23.3,22.7,7.4,,,13.7,28.3,,10.2,,,,
04/01/2015 03:00,,29.1,20.5,7.3,,,10.6,32,,9.6,,,,
04/01/2015 04:00,,23.1,18.8,6.4,,,17,36.5,,9.2,,,,
04/01/2015 05:00,,29.9,19.2,5.4,,,16.4,36.5,,9,,,,
04/01/2015 06:00,,22.7,17.5,5.5,,,14.5,36.2,,8.6,,,,
04/01/2015 07:00,,22.4,15.1,5.4,,,10.6,23.4,,8.6,,,,
04/01/2015 08:00,,26.6,17.2,5.5,,,8.5,14.8,,9,,,,
04/01/2015 09:00,,25,21.5,8.4,,,12.1,14.3,,4.7,,,,
04/01/2015 10:00,,19.6,21.6,7.3,,,7.9,10.1,,8.5,,,,
04/01/2015 11:00,,14.2,8.6,1.5,,,7.2,7.4,,7.5,,,,
04/01/2015 12:00,,10.5,5.9,1.6,,,6,4.6,,4.2,,,,
04/01/2015 13:00,,10.5,5.9,1.9,,,6.7,4.4,,3.3,,,,
04/01/2015 14:00,,11.1,6.3,2.3,,,6.2,6.5,,3.6,,,,
04/01/2015 15:00,,14.8,7.7,2.4,,,7.6,5.5,,4.2,,,,
