date,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
01/01/2015 00:00,,8.8,2.6,5,,,2.9,1.7,,7.2,,,,
01/01/2015 01:00,,10.2,3,6.1,,,2.8,1.5,,8.6,,,,
01/01/2015 02:00,,9.2,4.1,5.5,,,3.5,2,,12,,,,
01/01/2015 03:00,,8.1,10.3,4.8,,,2.9,1.9,,12.4,,,,
01/01/2015 04:00,,6.7,6.9,4.3,,,3,1.2,,11.5,,,,
01/01/2015 05:00,,5.3,7.9,3.6,,,2.6,1.5,,10.5,,,,
01/01/2015 06:00,,4.7,5.5,3.6,,,1.7,2.1,,10.8,,,,
01/01/2015 07:00,,5.8,9.7,3.2,,,1.5,1.9,,11.1,,,,
01/01/2015 08:00,,7.2,10.5,3.6,,,1.5,1.9,,13,,,,
01/01/2015 09:00,,5.8,11.5,3.9,,,2.6,2.3,,13,,,,
01/01/2015 10:00,,7.6,12.7,4.6,,,4.8,1.9,,14.4,,,,
01/01/2015 11:00,,9.8,14.1,5.6,,,11,2,,14.7,,,,
01/01/2015 12:00,,10,35.1,6.6,,,8,2.9,,14.8,,,,
01/01/2015 13:00,,11.5,22.4,7.3,,,6.7,2.6,,25.7,,,,
01/01/2015 14:00,,12,19.3,7.4,,,14.4,1.4,,23.8,,,,
01/01/2015 15:00,,10.5,18,6.4,,,13.4,3.2,,16.3,,,,
01/01/2015 16:00,,11.4,14.3,6.9,,,8.9,4.5,,15.5,,,,
01/01/2015 17:00,,16.1,15.5,6.9,,,10.7,2,,16.3,,,,
01/01/2015 18:00,,14.8,19.1,7.5,,,9.6,2.3,,17,,,,
01/01/2015 19:00,,21.2,16.7,6.9,,,11,3.2,,19.5,,,,
01/01/2015 20:00,,18.2,12.8,7,,,14.1,2.9,,18.3,,,,
01/01/2015 21:00,,13.1,11.9,6.3,,,16.5,3.1,,20.4,,,,
01/01/2015 22:00,,9.7,10.6,9,,,14.4,3.1,,22,,,,
01/01/2015 23:00,,6.3,6.6,6.2,,,9.9,2.6,,18,,,,
02/01/2015 00:00,,5,13.6,5.5,,,5.3,2.1,,14.9,,,,
02/01/2015 01:00,,5,8,4.2,,,2.6,2.5,,10.9,,,,
02/01/2015 02:00,,3.8,6.5,3.6,,,1.8,3.4,,8.7,,,,
02/01/2015 03:00,,3.7,3.9,2.9,,,1.6,5.2,,7.6,,,,
02/01/2015 04:00,,4.2,2.6,3,,,1.8,3.1,,8.7,,,,
02/01/2015 05:00,,4.8,7,4.5,,,2.1,3.6,,9.1,,,,
02/01/2015 06:00,,8.1,9,6.1,,,4.3,3.2,,15.8,,,,
02/01/2015 07:00,,11.6,15.4,8,,,9.7,4,,17.4,,,,
02/01/2015 08:00,,15.3,24.7,11.1,,,17.1,3.8,,23.5,,,,
02/01/2015 09:00,,22.1,30.2,11.4,,,17.8,2.6,,29.1,,,,
02/01/2015 10:00,,16.7,31.2,11.5,,,21.6,2.2,,30.7,,,,
02/01/2015 11:00,,19.3,23.7,13.5,,,17.9,3.3,,26.5,,,,
02/01/2015 12:00,,16.4,22.7,11.6,,,18.7,3.1,,24.8,,,,
02/01/2015 13:00,,23.8,21.7,10.7,,,21.5,2.2,,25.9,,,,
02/01/2015 14:00,,23.3,23.1,9.1,,,17.6,2.5,,24.5,,,,
02/01/2015 15:00,,22,26.7,9,,,19.6,2.1,,26.1,,,,
02/01/2015 16:00,,21.3,29.5,8.9,,,20.5,4.2,,24.8,,,,
02/01/2015 17:00,,33.8,30,10.2,,,24.7,3.2,,26.7,,,,
