date,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
01/01/2015 00:00,6,17,4,4,,8,11,,,,,,,
01/01/2015 01:00,5,10,3,4,,8,10,,,,,,,
01/01/2015 02:00,5,7,3,4,,7,8,,,,,,,
01/01/2015 03:00,4,7,2,4,,7,8,,,,,,,
01/01/2015 04:00,4,7,2,4,,7,8,,,,,,,
01/01/2015 05:00,4,7,1,4,,7,8,,,,,,,
01/01/2015 06:00,5,7,2,4,,8,9,,,,,,,
01/01/2015 07:00,4,6,2,5,,8,8,,,,,,,
01/01/2015 08:00,3,5,2,5,,7,9,,,,,,,
01/01/2015 09:00,4,7,3,6,,7,8,,,,,,,
01/01/2015 10:00,5,8,3,7,,6,8,,,,,,,
01/01/2015 11:00,6,9,3,7,,5,6,,,,,,,
01/01/2015 12:00,6,10,3,7,,5,9,,,,,,,
01/01/2015 13:00,6,12,3,7,,5,9,,,,,,,
01/01/2015 14:00,6,14,4,7,,6,8,,,,,,,
01/01/2015 15:00,6,11,4,7,,6,7,,,,,,,
01/01/2015 16:00,5,11,3,5,,6,7,,,,,,,
01/01/2015 17:00,3,10,2,4,,6,5,,,,,,,
01/01/2015 18:00,3,8,2,4,,4,5,,,,,,,
01/01/2015 19:00,3,6,2,3,,3,4,,,,,,,
01/01/2015 20:00,4,5,2,4,,3,4,,,,,,,
01/01/2015 21:00,5,5,2,4,,3,3,,,,,,,
01/01/2015 22:00,4,5,2,3,,3,3,,,,,,,
01/01/2015 23:00,6,6,2,3,,2,3,,,,,,,
02/01/2015 00:00,6,6,1,3,,3,3,,,,,,,
02/01/2015 01:00,6,5,1,3,,3,5,,,,,,,
02/01/2015 02:00,6,6,1,3,,3,8,,,,,,,
02/01/2015 03:00,5,7,2,3,,4,8,,,,,,,
02/01/2015 04:00,4,7,3,3,,4,8,,,,,,,
02/01/2015 05:00,4,6,2,4,,4,7,,,,,,,
02/01/2015 06:00,3,4,1,3,,4,5,,,,,,,
02/01/2015 07:00,2,4,2,3,,3,4,,,,,,,
02/01/2015 08:00,3,4,2,4,,3,3,,,,,,,
02/01/2015 09:00,3,5,2,4,,4,4,,,,,,,
02/01/2015 10:00,3,6,2,5,,4,5,,,,,,,
02/01/2015 11:00,4,8,3,5,,4,5,,,,,,,
02/01/2015 12:00,4,10,3,6,,4,6,,,,,,,
02/01/2015 13:00,5,10,3,6,,5,6,,,,,,,
02/01/2015 14:00,5,8,3,6,,5,6,,,,,,,
02/01/2015 15:00,4,7,3,5,,5,5,,,,,,,
02/01/2015 16:00,3,6,2,4,,4,4,,,,,,,
02/01/2015 17:00,3,5,2,4,,3,4,,,,,,,
02/01/2015 18:00,3,4,2,3,,3,4,,,,,,,
02/01/2015 19:00,3,4,2,3,,3,4,,,,,,,
02/01/2015 20:00,3,4,2,3,,3,3,,,,,,,
02/01/2015 21:00,2,4,2,2,,3,3,,,,,,,
02/01/2015 22:00,2,4,2,2,,3,3,,,,,,,
02/01/2015 23:00,2,4,2,2,,3,3,,,,,,,
03/01/2015 00:00,2,3,2,2,,3,3,,,,,,,
03/01/2015 01:00,2,4,2,2,,2,5,,,,,,,
03/01/2015 02:00,2,5,2,2,,2,4,,,,,,,
03/01/2015 03:00,2,4,2,2,,2,3,,,,,,,
03/01/2015 04:00,2,4,2,2,,2,3,,,,,,,
03/01/2015 05:00,2,4,2,2,,2,3,,,,,,,
03/01/2015 06:00,2,4,2,2,,2,4,,,,,,,
03/01/2015 07:00,3,4,3,2,,4,4,,,,,,,
03/01/2015 08:00,3,4,3,4,,3,,,,,,,,
03/01/2015 09:00,3,5,3,4,,3,,,,,,,,
03/01/2015 10:00,3,5,3,5,,4,,,,,,,,
03/01/2015 11:00,3,6,3,5,,5,,,,,,,,
03/01/2015 12:00,4,8,3,5,,6,,,,,,,,
03/01/2015 13:00,5,8,4,7,,6,8,,,,,,,
03/01/2015 14:00,5,10,3,7,,7,10,,,,,,,
03/01/2015 15:00,7,13,4,8,,9,12,,,,,,,
03/01/2015 16:00,11,13,4,10,,8,12,,,,,,,
03/01/2015 17:00,5,9,3,5,,5,8,,,,,,,
03/01/2015 18:00,3,11,2,5,,5,6,,,,,,,
03/01/2015 19:00,4,12,2,5,,5,6,,,,,,,
03/01/2015 20:00,3,12,2,6,,5,7,,,,,,,
03/01/2015 21:00,3,10,3,4,,4,7,,,,,,,
03/01/2015 22:00,3,15,3,4,,5,7,,,,,,,
03/01/2015 23:00,3,20,3,4,,3,10,,,,,,,
04/01/2015 00:00,2,10,4,4,,3,5,,,,,,,
04/01/2015 01:00,3,8,3,3,,3,5,,,,,,,
04/01/2015 02:00,3,10,3,2,,3,4,,,,,,,
04/01/2015 03:00,3,11,2,2,,3,6,,,,,,,
04/01/2015 04:00,4,12,2,3,,5,7,,,,,,,
04/01/2015 05:00,6,9,2,3,,4,8,,,,,,,
04/01/2015 06:00,3,9,2,4,,3,10,,,,,,,
04/01/2015 07:00,3,5,3,3,,3,13,,,,,,,
04/01/2015 08:00,3,4,2,4,,4,20,,,,,,,
04/01/2015 09:00,6,9,3,6,,5,16,,,20,,,,
04/01/2015 10:00,13,16,6,12,,12,24,,,15,,,,
04/01/2015 11:00,20,22,19,26,,29,26,,,21,,,,
04/01/2015 12:00,27,29,25,30,,32,32,,,29,,,,
04/01/2015 13:00,30,30,28,30,,34,31,,,33,,,,
04/01/2015 14:00,32,30,29,30,,35,33,,,33,,,,
04/01/2015 15:00,36,30,30,32,,34,32,,,32,,,,
04/01/2015 16:00,37,31,28,32,,32,31,,,31,,,,
04/01/2015 17:00,28,26,24,31,,29,28,,,28,,,,
04/01/2015 18:00,22,25,20,29,,27,24,,,24,,,,
04/01/2015 19:00,23,17,8,26,,25,19,,,17,,,,
04/01/2015 20:00,12,10,11,14,,29,29,,,21,,,,
04/01/2015 21:00,3,6,8,6,,31,30,,,25,,,,
04/01/2015 22:00,3,8,20,6,,31,24,,,29,,,,
04/01/2015 23:00,3,31,7,6,,30,21,,,22,,,,
05/01/2015 00:00,21,32,24,23,,24,22,,,30,,,,
05/01/2015 01:00,30,34,32,32,,26,28,,,33,,,,
05/01/2015 02:00,33,34,32,32,,29,31,,,33,,,,
05/01/2015 03:00,32,32,32,28,,31,33,,,29,,,,
05/01/2015 04:00,28,27,26,28,,29,31,,,22,,,,
05/01/2015 05:00,21,23,20,27,,26,22,,,19,,,,
05/01/2015 06:00,18,16,7,22,,18,12,,,,,,,
05/01/2015 07:00,4,7,4,6,,11,6,,,,,,,
05/01/2015 08:00,7,9,3,8,,12,5,,,,,,,
05/01/2015 09:00,17,11,4,6,,14,6,,,,,,,
05/01/2015 10:00,19,13,8,10,,17,14,,,,,,,
05/01/2015 11:00,23,19,10,21,,19,19,,,,,,,
05/01/2015 12:00,25,30,19,24,,25,24,,,13,,,,
05/01/2015 13:00,30,35,24,32,,36,33,,,18,,,,
05/01/2015 14:00,29,36,26,36,,35,35,,,20,,,,
05/01/2015 15:00,28,35,22,34,,34,35,,,19,,,,
