date,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
01/01/2015 00:00,37,60,26,89,66,62,13,6,18,,,,,
01/01/2015 01:00,70,139,44,199,114,40,19,8,34,,,,,
01/01/2015 02:00,47,42,32,107,58,36,8,,43,,,,,
01/01/2015 03:00,40,23,27,51,54,33,6,,52,,,,,
01/01/2015 04:00,37,21,33,33,45,15,6,6,22,,,,,
01/01/2015 05:00,36,23,26,30,41,6,6,,29,,,,,
01/01/2015 06:00,39,13,27,16,44,10,,,20,,,,,
01/01/2015 07:00,34,13,20,17,40,,,,16,,,,,
01/01/2015 08:00,34,15,22,8,43,30,,,15,,,,,
01/01/2015 09:00,35,16,25,19,42,30,,12,14,,,,,
01/01/2015 10:00,34,16,33,18,39,5,,10,14,,,,,
01/01/2015 11:00,35,19,30,18,42,,,,17,,,,,
01/01/2015 12:00,37,22,34,35,50,68,8,6,20,,,,,
01/01/2015 13:00,44,32,84,38,49,48,12,20,22,,,,,
01/01/2015 14:00,51,31,68,64,66,90,16,14,29,,,,,
01/01/2015 15:00,53,50,64,73,100,89,15,16,36,,,,,
01/01/2015 16:00,60,45,73,81,97,64,29,27,28,,,,,
01/01/2015 17:00,61,62,60,83,99,94,38,25,21,,,,,
01/01/2015 18:00,62,67,69,105,106,111,49,28,26,,,,,
01/01/2015 19:00,65,59,73,95,102,88,44,32,26,,,,,
01/01/2015 20:00,47,61,70,72,107,87,27,29,14,,,,,
01/01/2015 21:00,45,33,36,58,103,54,20,21,14,,,,,
01/01/2015 22:00,42,28,36,51,81,37,22,13,10,,,,,
01/01/2015 23:00,36,23,32,33,61,39,19,9,8,,,,,
02/01/2015 00:00,35,15,13,30,49,8,13,,9,,,,,
02/01/2015 01:00,34,15,24,11,53,20,10,,9,,,,,
02/01/2015 02:00,33,15,10,17,35,11,6,11,9,,,,,
02/01/2015 03:00,33,12,18,11,28,23,,20,,,,,,
02/01/2015 04:00,33,11,14,9,25,8,,,8,,,,,
02/01/2015 05:00,34,12,25,9,22,5,,,10,,,,,
02/01/2015 06:00,36,8,17,14,33,16,,5,10,,,,,
02/01/2015 07:00,36,8,30,17,38,14,5,,10,,,,,
02/01/2015 08:00,39,12,33,31,33,32,8,,13,,,,,
02/01/2015 09:00,40,17,32,36,37,12,10,,17,,,,,
02/01/2015 10:00,41,26,50,58,45,30,12,,21,,,,,
02/01/2015 11:00,51,28,50,71,55,18,17,15,22,,,,,
02/01/2015 12:00,50,42,56,89,69,37,16,22,28,,,,,
02/01/2015 13:00,52,49,61,83,80,35,31,55,26,,,,,
02/01/2015 14:00,49,73,64,90,105,42,48,51,43,,,,,
02/01/2015 15:00,47,66,76,83,121,87,52,44,12,,,,,
02/01/2015 16:00,37,72,77,81,119,116,57,60,29,,,,,
02/01/2015 17:00,41,62,75,90,117,93,61,60,7,,,,,
02/01/2015 18:00,37,62,58,92,134,114,62,57,24,,,,,
02/01/2015 19:00,37,40,31,88,109,108,69,48,34,,,,,
02/01/2015 20:00,36,50,21,87,95,107,63,34,21,,,,,
02/01/2015 21:00,41,47,35,77,95,103,31,21,26,,,,,
02/01/2015 22:00,40,43,34,45,119,124,18,26,21,,,,,
02/01/2015 23:00,41,35,35,37,134,106,19,7,17,,,,,
03/01/2015 00:00,42,32,29,41,150,88,11,7,15,,,,,
03/01/2015 01:00,46,14,41,40,135,84,10,5,15,,,,,
03/01/2015 02:00,43,16,44,28,109,73,10,7,14,,,,,
03/01/2015 03:00,42,16,50,28,93,45,10,14,13,,,,,
03/01/2015 04:00,42,34,55,26,97,47,12,11,21,,,,,
03/01/2015 05:00,49,36,43,41,101,55,21,20,15,,,,,
03/01/2015 06:00,53,31,43,49,102,43,20,42,14,,,,,
03/01/2015 07:00,49,35,56,33,121,152,38,57,17,,,,,
03/01/2015 08:00,64,37,88,47,114,191,,47,22,,,,,
03/01/2015 09:00,76,48,84,56,117,216,,51,26,,,,,
03/01/2015 10:00,80,50,117,65,145,124,,28,30,,,,,
03/01/2015 11:00,66,54,139,102,120,,,38,30,,,,,
03/01/2015 12:00,70,52,107,105,158,42,,35,36,,,,,
03/01/2015 13:00,69,44,117,79,192,40,16,21,54,,,,,
03/01/2015 14:00,59,39,100,100,185,74,20,11,49,,,,,
03/01/2015 15:00,61,45,97,89,173,85,15,7,29,,,,,
03/01/2015 16:00,78,65,115,114,168,34,26,40,61,,,,,
03/01/2015 17:00,65,96,122,127,193,136,37,110,106,,,,,
03/01/2015 18:00,125,128,124,149,247,223,53,161,89,,,,,
03/01/2015 19:00,88,185,126,198,260,290,70,169,77,,,,,
03/01/2015 20:00,104,208,137,263,216,330,82,156,69,,,,,
03/01/2015 21:00,142,196,129,410,273,341,125,138,53,,,,,
03/01/2015 22:00,151,155,130,302,242,306,207,152,62,,,,,
03/01/2015 23:00,115,209,144,326,311,295,196,113,90,,,,,
04/01/2015 00:00,100,293,153,263,248,219,145,68,127,,,,,
04/01/2015 01:00,76,194,155,255,235,124,153,26,139,,,,,
04/01/2015 02:00,89,116,166,238,154,95,161,44,137,,,,,
04/01/2015 03:00,70,159,187,142,121,67,88,85,104,,,,,
04/01/2015 04:00,51,216,195,110,93,27,31,125,143,,,,,
04/01/2015 05:00,41,189,150,92,75,15,51,111,127,,,,,
04/01/2015 06:00,39,155,67,118,81,53,28,99,109,,,,,
04/01/2015 07:00,39,156,61,122,91,128,,38,88,,,,,
04/01/2015 08:00,53,77,69,107,99,129,,,126,,,,,
04/01/2015 09:00,55,61,67,127,101,,,8,93,,,,,
04/01/2015 10:00,47,55,63,143,108,46,,,85,,,,,
04/01/2015 11:00,47,52,67,84,70,,,,79,,,,,
04/01/2015 12:00,42,39,30,53,58,42,,16,89,,,,,
04/01/2015 13:00,41,40,23,25,51,45,,20,83,,,,,
04/01/2015 14:00,39,36,23,31,43,61,,11,27,,,,,
04/01/2015 15:00,40,40,28,41,38,45,,12,43,,,,,
04/01/2015 16:00,41,35,39,33,41,81,,39,47,,,,,
04/01/2015 17:00,42,54,33,44,51,118,36,43,95,,,,,
04/01/2015 18:00,45,63,30,48,53,32,36,43,67,,,,,
04/01/2015 19:00,50,63,37,43,45,29,32,51,151,,,,,
04/01/2015 20:00,42,68,47,44,51,22,33,57,64,,,,,
04/01/2015 21:00,50,86,37,65,47,7,20,49,37,,,,,
04/01/2015 22:00,47,71,39,88,41,11,10,35,20,,,,,
04/01/2015 23:00,39,68,22,84,43,20,19,28,20,,,,,
05/01/2015 00:00,37,52,35,72,39,28,25,27,15,,,,,
05/01/2015 01:00,44,27,24,44,38,34,32,16,15,,,,,
05/01/2015 02:00,34,22,10,25,31,12,22,11,14,,,,,
05/01/2015 03:00,34,21,12,33,28,12,14,11,15,,,,,
05/01/2015 04:00,33,24,13,30,31,7,14,23,22,,,,,
05/01/2015 05:00,22,30,15,28,36,21,14,37,24,,,,,
05/01/2015 06:00,38,38,22,27,36,54,24,54,23,,,,,
05/01/2015 07:00,45,48,39,44,42,67,36,70,51,,,,,
05/01/2015 08:00,61,89,52,92,61,33,62,89,51,,,,,
05/01/2015 09:00,50,100,63,70,87,40,83,89,46,,,,,
05/01/2015 10:00,45,85,68,98,88,12,94,62,93,,,,,
05/01/2015 11:00,48,92,72,114,85,53,77,56,51,,,,,
05/01/2015 12:00,49,82,89,96,96,98,82,51,36,,,,,
05/01/2015 13:00,50,73,67,109,120,108,91,61,43,,,,,
05/01/2015 14:00,46,68,44,97,106,117,76,68,80,,,,,
05/01/2015 15:00,49,66,42,68,92,90,69,102,56,,,,,
05/01/2015 16:00,47,74,39,69,77,85,,108,36,,,,,
05/01/2015 17:00,47,62,39,53,74,70,54,126,46,,,,,
05/01/2015 18:00,51,80,54,67,76,86,64,143,43,,,,,
05/01/2015 19:00,47,93,68,63,94,101,82,122,79,,,,,
05/01/2015 20:00,44,113,51,83,94,87,95,117,39,,,,,
05/01/2015 21:00,45,99,50,71,97,78,81,55,30,,,,,
05/01/2015 22:00,42,88,48,76,93,112,75,54,76,,,,,
05/01/2015 23:00,41,56,25,62,87,116,51,64,47,,,,,
06/01/2015 00:00,39,40,46,66,88,114,48,53,50,,,,,
06/01/2015 01:00,46,37,62,61,135,94,47,69,51,,,,,
06/01/2015 02:00,45,55,41,106,180,86,50,37,28,,,,,
06/01/2015 03:00,46,56,53,97,151,77,70,31,25,,,,,
06/01/2015 04:00,50,65,61,81,155,80,52,24,21,,,,,
06/01/2015 05:00,50,51,53,58,89,76,46,30,24,,,,,
