date,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
01/01/2015 00:00,,,17,,,,,,,,,,,
01/01/2015 01:00,,80,27,169,,,,,,15,,,,
01/01/2015 02:00,,29,21,60,,,,,,,,,,
01/01/2015 03:00,,9,8,26,,,,,,,,,,
01/01/2015 04:00,,,5,17,,,,6,,,,,,
01/01/2015 05:00,,14,7,17,,,,,,,,,,
01/01/2015 06:00,,,,5,,,,,,,,,,
01/01/2015 07:00,,,15,6,,,,,,,,,,
01/01/2015 08:00,,8,10,,,,,,,,,,,
01/01/2015 09:00,,6,9,7,,,,9,,,,,,
01/01/2015 10:00,,,14,5,,,,,,14,,,,
01/01/2015 11:00,,10,8,,,,,,,,,,,
01/01/2015 12:00,,17,28,17,,,,,,,,,,
01/01/2015 13:00,,16,43,34,,,,14,,,,,,
01/01/2015 14:00,,19,34,39,,,,10,,29,,,,
01/01/2015 15:00,,35,42,59,,,,10,,24,,,,
01/01/2015 16:00,,15,42,47,,,,16,,26,,,,
01/01/2015 17:00,,36,39,57,,,,19,,27,,,,
01/01/2015 18:00,,37,35,62,,,,13,,25,,,,
01/01/2015 19:00,,33,42,49,,,,23,,26,,,,
01/01/2015 20:00,,10,26,39,,,,23,,23,,,,
01/01/2015 21:00,,,8,31,,,,17,,23,,,,
01/01/2015 22:00,,14,16,18,,,,8,,16,,,,
01/01/2015 23:00,,6,7,10,,,,7,,13,,,,
02/01/2015 00:00,,12,7,5,,,,,,13,,,,
02/01/2015 01:00,,11,,,,,,,,,,,,
02/01/2015 02:00,,12,,,,,,5,,,,,,
02/01/2015 03:00,,,,,,,,,,,,,,
02/01/2015 04:00,,,5,,,,,,,,,,,
02/01/2015 05:00,,,,,,,,,,,,,,
02/01/2015 06:00,,5,10,,,,,,,,,,,
02/01/2015 07:00,,,8,,,,,,,,,,,
02/01/2015 08:00,,12,11,7,,,,5,,14,,,,
02/01/2015 09:00,,13,21,19,,,,,,19,,,,
02/01/2015 10:00,,,22,28,,,,,,25,,,,
02/01/2015 11:00,,,15,38,,,,,,27,,,,
02/01/2015 12:00,,10,22,39,,,,,,16,,,,
02/01/2015 13:00,,14,24,47,,,,16,,23,,,,
02/01/2015 14:00,,52,22,38,,,,17,,23,,,,
02/01/2015 15:00,,26,32,32,,,,18,,25,,,,
02/01/2015 16:00,,30,33,37,,,,26,,31,,,,
02/01/2015 17:00,,29,29,39,,,,29,,25,,,,
02/01/2015 18:00,,29,14,34,,,,21,,23,,,,
02/01/2015 19:00,,20,,23,,,,25,,22,,,,
02/01/2015 20:00,,28,6,30,,,,20,,18,,,,
02/01/2015 21:00,,40,11,31,,,,,,19,,,,
02/01/2015 22:00,,23,12,18,,,,18,,14,,,,
02/01/2015 23:00,,15,,13,,,,,,13,,,,
03/01/2015 00:00,,,19,20,,,,7,,,,,,
03/01/2015 01:00,,,37,14,,,,5,,,,,,
03/01/2015 02:00,,12,30,20,,,,,,17,,,,
03/01/2015 03:00,,,34,18,,,,6,,17,,,,
03/01/2015 04:00,,13,39,9,,,,,,27,,,,
03/01/2015 05:00,,10,31,29,,,,11,,30,,,,
03/01/2015 06:00,,6,42,20,,,,15,,23,,,,
03/01/2015 07:00,,12,43,24,,,,23,,23,,,,
03/01/2015 08:00,,11,62,23,,,,27,,27,,,,
03/01/2015 09:00,,27,57,30,,,,22,,26,,,,
03/01/2015 10:00,,35,84,45,,,,16,,23,,,,
03/01/2015 11:00,,6,58,56,,,,29,,44,,,,
03/01/2015 12:00,,39,60,43,,,,20,,42,,,,
03/01/2015 13:00,,30,51,37,,,,9,,47,,,,
03/01/2015 14:00,,14,46,43,,,,,,44,,,,
03/01/2015 15:00,,,28,36,,,,5,,39,,,,
03/01/2015 16:00,,10,58,48,,,,17,,27,,,,
03/01/2015 17:00,,71,66,82,,,,48,,48,,,,
03/01/2015 18:00,,89,71,99,,,,65,,53,,,,
03/01/2015 19:00,,94,70,114,,,,71,,41,,,,
03/01/2015 20:00,,119,59,148,,,,81,,41,,,,
03/01/2015 21:00,,68,63,184,,,,62,,36,,,,
03/01/2015 22:00,,81,57,110,,,,78,,40,,,,
03/01/2015 23:00,,133,68,141,,,,55,,57,,,,
04/01/2015 00:00,,118,71,105,,,,36,,39,,,,
04/01/2015 01:00,,53,73,97,,,,,,43,,,,
04/01/2015 02:00,,68,78,71,,,,29,,38,,,,
04/01/2015 03:00,,68,50,40,,,,42,,30,,,,
04/01/2015 04:00,,60,31,48,,,,67,,21,,,,
04/01/2015 05:00,,60,30,36,,,,65,,,,,,
04/01/2015 06:00,,49,28,35,,,,38,,,,,,
04/01/2015 07:00,,40,28,36,,,,16,,,,,,
04/01/2015 08:00,,,19,30,,,,5,,,,,,
04/01/2015 09:00,,,6,35,,,,,,,,,,
04/01/2015 10:00,,,25,32,,,,,,,,,,
04/01/2015 11:00,,12,7,,,,,,,,,,,
04/01/2015 12:00,,,,,,,,,,,,,,
04/01/2015 13:00,,5,,,,,,,,,,,,
04/01/2015 14:00,,,,,,,,,,,,,,
04/01/2015 15:00,,,17,,,,,6,,,,,,
04/01/2015 16:00,,31,25,5,,,,21,,,,,,
04/01/2015 17:00,,45,16,18,,,,24,,,,,,
04/01/2015 18:00,,31,17,,,,,15,,,,,,
04/01/2015 19:00,,23,16,11,,,,17,,,,,,
04/01/2015 20:00,,17,15,15,,,,28,,,,,,
04/01/2015 21:00,,29,13,24,,,,23,,,,,,
04/01/2015 22:00,,25,12,18,,,,13,,,,,,
04/01/2015 23:00,,5,,18,,,,14,,,,,,
05/01/2015 00:00,,7,12,12,,,,11,,,,,,
05/01/2015 01:00,,,,,,,,11,,,,,,
05/01/2015 02:00,,,,,,,,7,,,,,,
05/01/2015 03:00,,,,17,,,,10,,,,,,
05/01/2015 04:00,,8,5,11,,,,9,,,,,,
05/01/2015 05:00,,15,13,10,,,,13,,,,,,
05/01/2015 06:00,,17,11,12,,,,13,,,,,,
05/01/2015 07:00,,17,7,16,,,,16,,,,,,
05/01/2015 08:00,,19,17,12,,,,18,,14,,,,
05/01/2015 09:00,,13,17,10,,,,14,,,,,,
05/01/2015 10:00,,11,7,21,,,,9,,,,,,
05/01/2015 11:00,,17,18,9,,,,,,,,,,
05/01/2015 12:00,,23,20,27,,,,,,26,,,,
05/01/2015 13:00,,22,14,28,,,,,,34,,,,
05/01/2015 14:00,,14,15,15,,,,21,,19,,,,
05/01/2015 15:00,,16,12,12,,,,29,,,,,,
05/01/2015 16:00,,17,8,6,,,,44,,14,,,,
05/01/2015 17:00,,24,12,11,,,,39,,14,,,,
05/01/2015 18:00,,,14,13,,,,38,,16,,,,
05/01/2015 19:00,,55,14,14,,,,24,,15,,,,
05/01/2015 20:00,,33,14,28,,,,25,,15,,,,
05/01/2015 21:00,,23,10,21,,,,22,,15,,,,
05/01/2015 22:00,,20,5,21,,,,23,,14,,,,
05/01/2015 23:00,,22,12,19,,,,17,,,,,,
06/01/2015 00:00,,11,11,19,,,,14,,,,,,
06/01/2015 01:00,,,14,25,,,,21,,,,,,
06/01/2015 02:00,,33,13,24,,,,20,,15,,,,
06/01/2015 03:00,,21,21,28,,,,14,,17,,,,
06/01/2015 04:00,,31,22,24,,,,21,,17,,,,
06/01/2015 05:00,,18,22,20,,,,20,,15,,,,
06/01/2015 06:00,,29,33,22,,,,22,,21,,,,
06/01/2015 07:00,,24,18,28,,,,19,,18,,,,
06/01/2015 08:00,,17,22,36,,,,26,,27,,,,
06/01/2015 09:00,,33,21,23,,,,31,,24,,,,
06/01/2015 10:00,,44,26,42,,,,36,,20,,,,
06/01/2015 11:00,,24,43,32,,,,21,,28,,,,
06/01/2015 12:00,,15,43,44,,,,16,,33,,,,
06/01/2015 13:00,,22,53,60,,,,32,,41,,,,
06/01/2015 14:00,,105,101,84,,,,55,,50,,,,
06/01/2015 15:00,,99,64,94,,,,62,,87,,,,
06/01/2015 16:00,,49,32,84,,,,58,,43,,,,
06/01/2015 17:00,,21,31,62,,,,62,,37,,,,
06/01/2015 18:00,,9,36,37,,,,86,,29,,,,
06/01/2015 19:00,,33,36,29,,,,53,,18,,,,
06/01/2015 20:00,,66,27,46,,,,46,,28,,,,
06/01/2015 21:00,,36,28,28,,,,25,,22,,,,
06/01/2015 22:00,,21,25,28,,,,19,,15,,,,
06/01/2015 23:00,,7,29,56,,,,22,,23,,,,
07/01/2015 00:00,,43,20,55,,,,24,,22,,,,
07/01/2015 01:00,,22,22,34,,,,20,,19,,,,
07/01/2015 02:00,,36,21,37,,,,21,,19,,,,
07/01/2015 03:00,,10,24,35,,,,29,,20,,,,
07/01/2015 04:00,,23,23,49,,,,29,,17,,,,
07/01/2015 05:00,,24,28,38,,,,31,,30,,,,
07/01/2015 06:00,,25,29,43,,,,36,,17,,,,
07/01/2015 07:00,,33,28,48,,,,34,,24,,,,
07/01/2015 08:00,36,36,28,41,,,,32,,26,,,,
07/01/2015 09:00,28,31,34,39,,,,32,,19,,,,
07/01/2015 10:00,20,8,32,33,,,,12,,14,,,,
07/01/2015 11:00,44,22,27,36,,,,27,,17,,,,
07/01/2015 12:00,55,49,42,31,,,,23,,34,,,,
07/01/2015 13:00,40,25,31,35,,,,24,,32,,,,
07/01/2015 14:00,32,38,35,34,,,,27,,35,,,,
07/01/2015 15:00,29,22,23,14,,,,26,,40,,,,
07/01/2015 16:00,11,14,11,9,,,,,,,,,,
07/01/2015 17:00,5,,11,11,,,,11,,,,,,
07/01/2015 18:00,,15,,,,,,,,,,,,
07/01/2015 19:00,,16,,,,,,,,,,,,
07/01/2015 20:00,,,,,,,,9,,,,,,
07/01/2015 21:00,5,8,5,,,,,10,,,,,,
07/01/2015 22:00,10,8,8,7,,,,13,,,,,,
07/01/2015 23:00,,,,,,,,9,,,,,,
08/01/2015 00:00,,8,6,,,,,7,,,,,,
08/01/2015 01:00,,,8,5,,,,,,,,,,
08/01/2015 02:00,8,8,5,,,,,,,,,,,
08/01/2015 03:00,5,18,9,6,,,,11,,,,,,
08/01/2015 04:00,5,22,,5,,,,8,,,,,,
08/01/2015 05:00,10,5,6,7,,,,9,,,,,,
08/01/2015 06:00,,,,,,,,5,,,,,,
08/01/2015 07:00,,14,,17,,,,7,,,,,,
08/01/2015 08:00,10,8,14,12,,,,10,,,,,,
08/01/2015 09:00,5,16,8,11,,,,14,,,,,,
08/01/2015 10:00,9,5,11,16,,,,28,,,,,,
08/01/2015 11:00,8,7,13,16,,,,,,,,,,
08/01/2015 12:00,14,16,11,20,,,,14,,,,,,
08/01/2015 13:00,22,8,13,20,,,,32,,17,,,,
08/01/2015 14:00,12,12,11,33,,,,27,,23,,,,
08/01/2015 15:00,6,52,43,41,,,,30,,23,,,,
08/01/2015 16:00,10,23,34,32,,,,33,,28,,,,
08/01/2015 17:00,11,13,11,36,,,,28,,15,,,,
08/01/2015 18:00,12,23,9,41,,,,20,,22,,,,
08/01/2015 19:00,11,21,12,31,,,,25,,,,,,
08/01/2015 20:00,14,20,12,37,,,,26,,19,,,,
08/01/2015 21:00,,14,31,18,,,,27,,,,,,
08/01/2015 22:00,10,19,23,24,,,,25,,23,,,,
08/01/2015 23:00,14,29,24,28,,,,20,,20,,,,
09/01/2015 00:00,14,24,30,21,,,,30,,26,,,,
09/01/2015 01:00,18,28,21,32,,,,,,22,,,,
09/01/2015 02:00,22,25,28,46,,,,28,,13,,,,
09/01/2015 03:00,23,25,30,36,,,,34,,31,,,,
