date,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
01/01/2015 00:00,97,96,97,91,90,90,86,87,92,95,,,,
01/01/2015 01:00,97,96,97,91,90,90,86,88,91,95,,,,
01/01/2015 02:00,97,96,97,92,90,90,86,88,91,95,,,,
01/01/2015 03:00,97,96,97,92,90,90,86,88,91,95,,,,
01/01/2015 04:00,97,96,97,92,90,90,86,88,91,95,,,,
01/01/2015 05:00,97,96,97,92,90,90,87,88,91,95,,,,
01/01/2015 06:00,97,96,97,93,90,90,87,88,91,95,,,,
01/01/2015 07:00,97,96,97,93,90,90,87,88,91,95,,,,
01/01/2015 08:00,97,96,97,93,90,90,87,88,91,95,,,,
01/01/2015 09:00,97,96,98,92,90,90,86,88,91,95,,,,
01/01/2015 10:00,97,96,98,90,89,90,85,87,89,95,,,,
01/01/2015 11:00,97,96,99,88,87,86,82,84,85,94,,,,
01/01/2015 12:00,97,96,96,86,86,84,80,79,82,92,,,,
01/01/2015 13:00,95,95,93,86,86,83,79,80,85,89,,,,
01/01/2015 14:00,93,94,90,85,87,87,77,80,85,90,,,,
01/01/2015 15:00,93,93,90,85,87,88,79,80,88,89,,,,
01/01/2015 16:00,94,93,91,85,86,88,82,83,89,88,,,,
01/01/2015 17:00,96,93,92,88,87,89,83,85,91,89,,,,
01/01/2015 18:00,97,93,93,88,88,89,85,87,92,90,,,,
01/01/2015 19:00,97,94,95,89,89,90,86,88,92,91,,,,
01/01/2015 20:00,97,94,97,91,89,91,87,88,92,93,,,,
01/01/2015 21:00,97,95,97,93,90,91,88,88,92,94,,,,
01/01/2015 22:00,97,95,97,93,90,91,89,89,93,95,,,,
01/01/2015 23:00,97,95,97,94,91,91,89,89,93,96,,,,
02/01/2015 00:00,97,96,98,94,91,91,89,89,93,96,,,,
02/01/2015 01:00,97,96,98,94,91,91,89,89,93,96,,,,
02/01/2015 02:00,97,96,98,94,91,91,89,89,92,96,,,,
02/01/2015 03:00,97,96,98,94,91,91,89,88,92,96,,,,
02/01/2015 04:00,97,96,97,94,91,91,89,87,92,96,,,,
02/01/2015 05:00,97,96,97,94,91,91,88,86,92,96,,,,
02/01/2015 06:00,97,96,98,94,91,91,88,85,90,96,,,,
02/01/2015 07:00,97,96,98,94,91,91,88,84,88,96,,,,
02/01/2015 08:00,97,95,98,94,91,91,88,82,86,96,,,,
02/01/2015 09:00,97,95,99,94,91,91,87,79,84,96,,,,
02/01/2015 10:00,97,95,97,92,92,91,86,76,80,96,,,,
02/01/2015 11:00,96,94,93,86,92,91,84,75,83,95,,,,
02/01/2015 12:00,94,91,89,81,91,91,79,74,86,91,,,,
02/01/2015 13:00,94,88,89,81,88,88,75,78,86,88,,,,
02/01/2015 14:00,96,87,89,81,86,85,74,82,88,87,,,,
02/01/2015 15:00,96,89,92,82,86,84,77,84,88,87,,,,
02/01/2015 16:00,97,91,94,84,86,84,81,85,89,88,,,,
02/01/2015 17:00,97,92,95,87,87,84,81,86,90,90,,,,
02/01/2015 18:00,97,93,96,90,89,85,82,87,90,92,,,,
02/01/2015 19:00,97,94,97,90,89,86,86,87,91,94,,,,
02/01/2015 20:00,97,94,97,91,90,87,88,88,91,95,,,,
02/01/2015 21:00,97,95,97,91,90,89,88,88,91,95,,,,
02/01/2015 22:00,97,95,97,92,89,89,88,88,91,95,,,,
02/01/2015 23:00,97,95,98,93,89,90,88,88,92,95,,,,
03/01/2015 00:00,97,95,98,93,89,90,88,88,92,95,,,,
03/01/2015 01:00,97,95,99,93,88,90,88,88,92,95,,,,
03/01/2015 02:00,97,95,99,93,88,91,88,88,92,95,,,,
03/01/2015 03:00,97,95,99,92,88,89,87,87,92,95,,,,
03/01/2015 04:00,97,96,100,90,87,88,87,87,92,92,,,,
03/01/2015 05:00,97,96,100,88,87,87,87,87,92,90,,,,
03/01/2015 06:00,97,95,98,87,88,89,85,87,92,90,,,,
03/01/2015 07:00,97,95,97,88,88,90,83,87,92,92,,,,
03/01/2015 08:00,97,95,96,88,88,89,,87,92,93,,,,
03/01/2015 09:00,97,94,95,87,88,89,,88,92,93,,,,
03/01/2015 10:00,97,94,93,86,86,88,,83,91,90,,,,
03/01/2015 11:00,97,93,93,86,84,86,,81,88,89,,,,
03/01/2015 12:00,95,91,92,86,83,87,,81,84,88,,,,
03/01/2015 13:00,93,90,89,84,83,85,80,78,82,87,,,,
03/01/2015 14:00,93,87,90,82,83,82,76,72,80,85,,,,
03/01/2015 15:00,87,78,87,80,83,82,70,65,75,85,,,,
03/01/2015 16:00,78,73,82,75,77,73,68,62,71,79,,,,
03/01/2015 17:00,86,74,84,76,82,75,72,67,80,79,,,,
03/01/2015 18:00,93,81,91,81,82,83,76,75,89,84,,,,
03/01/2015 19:00,97,86,92,85,82,84,76,84,90,84,,,,
03/01/2015 20:00,97,90,93,86,84,85,79,86,91,85,,,,
03/01/2015 21:00,97,91,94,88,83,85,82,85,92,86,,,,
03/01/2015 22:00,97,91,95,89,86,85,83,84,91,88,,,,
03/01/2015 23:00,97,92,95,90,85,85,84,87,88,87,,,,
04/01/2015 00:00,97,93,95,90,86,83,86,88,88,87,,,,
04/01/2015 01:00,97,94,94,90,83,85,87,89,89,87,,,,
04/01/2015 02:00,97,94,89,84,79,81,85,89,89,85,,,,
04/01/2015 03:00,93,94,85,76,75,80,77,88,87,83,,,,
04/01/2015 04:00,91,94,83,73,74,78,74,84,87,78,,,,
04/01/2015 05:00,90,93,80,77,71,77,65,82,87,76,,,,
04/01/2015 06:00,92,92,77,74,70,79,61,81,88,75,,,,
04/01/2015 07:00,90,90,82,76,72,79,62,78,84,74,,,,
04/01/2015 08:00,86,82,76,78,74,75,48,74,75,72,,,,
04/01/2015 09:00,76,70,64,71,68,70,49,66,69,48,,,,
04/01/2015 10:00,64,61,60,53,53,55,41,53,60,51,,,,
04/01/2015 11:00,58,55,50,43,47,39,42,44,46,47,,,,
04/01/2015 12:00,54,47,48,42,44,40,39,39,39,43,,,,
04/01/2015 13:00,53,50,48,46,41,42,43,41,39,40,,,,
04/01/2015 14:00,54,50,50,49,45,43,45,38,36,44,,,,
04/01/2015 15:00,50,47,50,46,47,45,43,33,37,46,,,,
04/01/2015 16:00,51,46,48,47,48,47,44,37,43,45,,,,
04/01/2015 17:00,62,53,55,51,50,56,48,41,52,49,,,,
04/01/2015 18:00,71,57,59,51,56,58,49,46,63,51,,,,
04/01/2015 19:00,72,61,69,53,60,62,54,52,65,59,,,,
04/01/2015 20:00,75,65,66,58,63,63,58,57,67,62,,,,
04/01/2015 21:00,76,71,70,64,65,63,61,59,70,64,,,,
04/01/2015 22:00,79,73,72,68,66,64,63,62,69,65,,,,
04/01/2015 23:00,84,70,73,70,67,67,66,63,68,67,,,,
05/01/2015 00:00,78,72,73,68,67,72,64,62,69,67,,,,
05/01/2015 01:00,76,70,73,67,68,72,64,65,69,69,,,,
05/01/2015 02:00,75,70,72,66,69,71,62,65,71,68,,,,
05/01/2015 03:00,78,73,72,66,70,70,62,66,73,67,,,,
05/01/2015 04:00,81,75,74,66,70,70,62,64,75,70,,,,
05/01/2015 05:00,85,76,77,68,72,70,65,65,76,71,,,,
05/01/2015 06:00,86,78,80,70,73,73,68,68,78,74,,,,
05/01/2015 07:00,88,80,82,74,77,76,70,69,78,77,,,,
05/01/2015 08:00,87,79,82,74,78,76,71,68,80,78,,,,
05/01/2015 09:00,85,78,80,73,75,73,71,67,78,77,,,,
05/01/2015 10:00,81,77,75,72,70,65,66,63,72,70,,,,
05/01/2015 11:00,78,74,72,64,63,60,62,60,64,67,,,,
05/01/2015 12:00,76,69,68,62,65,59,58,58,60,66,,,,
05/01/2015 13:00,71,64,67,60,64,57,54,53,57,64,,,,
05/01/2015 14:00,71,63,67,60,64,58,55,52,57,64,,,,
05/01/2015 15:00,72,62,67,59,65,59,54,53,57,64,,,,
05/01/2015 16:00,74,65,69,59,65,60,,53,59,64,,,,
05/01/2015 17:00,75,67,70,62,66,63,54,56,62,66,,,,
05/01/2015 18:00,79,70,73,65,69,66,58,59,68,68,,,,
05/01/2015 19:00,81,71,76,68,71,68,62,62,71,72,,,,
05/01/2015 20:00,81,73,77,70,73,71,63,64,72,74,,,,
05/01/2015 21:00,83,76,77,71,74,72,65,65,75,75,,,,
05/01/2015 22:00,85,76,78,73,75,75,67,68,74,76,,,,
05/01/2015 23:00,88,75,80,74,75,76,66,66,73,76,,,,
06/01/2015 00:00,87,76,80,75,76,76,67,64,72,77,,,,
06/01/2015 01:00,86,75,80,77,77,77,68,66,72,77,,,,
06/01/2015 02:00,86,77,80,78,77,77,74,72,75,78,,,,
06/01/2015 03:00,87,78,84,81,78,77,74,74,80,82,,,,
06/01/2015 04:00,92,84,85,84,82,81,76,76,78,85,,,,
06/01/2015 05:00,93,85,85,86,82,82,78,76,76,85,,,,
06/01/2015 06:00,93,85,88,85,82,82,78,77,81,85,,,,
06/01/2015 07:00,93,85,87,85,83,82,77,72,79,85,,,,
06/01/2015 08:00,92,84,87,85,82,82,77,75,80,84,,,,
06/01/2015 09:00,88,81,83,81,73,74,72,74,78,80,,,,
06/01/2015 10:00,84,76,77,76,67,64,69,68,74,73,,,,
06/01/2015 11:00,80,69,71,64,61,51,64,59,68,62,,,,
06/01/2015 12:00,71,60,62,58,59,44,56,51,61,55,,,,
06/01/2015 13:00,71,58,59,54,54,42,51,50,57,55,,,,
06/01/2015 14:00,69,60,61,53,54,49,49,47,53,54,,,,
06/01/2015 15:00,70,61,65,55,58,54,48,49,52,58,,,,
06/01/2015 16:00,71,63,67,58,62,55,51,50,53,61,,,,
06/01/2015 17:00,72,66,70,63,65,58,55,51,57,65,,,,
06/01/2015 18:00,75,66,71,65,68,64,59,55,61,67,,,,
06/01/2015 19:00,77,69,73,65,69,66,60,56,64,68,,,,
06/01/2015 20:00,77,70,73,67,71,69,62,60,70,71,,,,
06/01/2015 21:00,80,76,76,71,71,71,65,67,77,71,,,,
06/01/2015 22:00,86,80,81,74,72,72,69,71,80,74,,,,
06/01/2015 23:00,91,83,86,78,76,75,73,74,81,78,,,,
07/01/2015 00:00,93,85,88,81,78,76,76,78,83,81,,,,
07/01/2015 01:00,94,86,89,83,81,79,77,79,84,83,,,,
07/01/2015 02:00,95,87,89,83,82,80,77,79,84,84,,,,
07/01/2015 03:00,96,87,90,85,83,82,78,80,84,85,,,,
07/01/2015 04:00,97,87,91,85,83,84,78,80,83,84,,,,
07/01/2015 05:00,97,88,90,85,83,84,78,79,84,85,,,,
07/01/2015 06:00,97,88,91,85,83,83,79,80,84,86,,,,
07/01/2015 07:00,97,87,92,85,85,85,80,79,82,86,,,,
07/01/2015 08:00,94,86,89,85,85,85,78,77,79,85,,,,
07/01/2015 09:00,86,83,83,81,81,78,72,75,77,80,,,,
07/01/2015 10:00,76,75,76,76,77,77,67,71,75,75,,,,
07/01/2015 11:00,75,71,73,71,72,77,62,68,75,68,,,,
07/01/2015 12:00,73,71,71,68,66,70,61,67,72,64,,,,
07/01/2015 13:00,75,73,70,68,64,58,64,70,80,65,,,,
07/01/2015 14:00,82,81,76,74,68,62,73,82,85,68,,,,
07/01/2015 15:00,92,89,87,80,79,74,78,86,89,82,,,,
07/01/2015 16:00,97,93,92,80,86,79,82,87,89,87,,,,
07/01/2015 17:00,97,94,96,87,88,85,85,85,89,93,,,,
07/01/2015 18:00,97,94,97,89,89,89,84,80,85,93,,,,
07/01/2015 19:00,97,94,97,88,89,84,82,77,84,93,,,,
07/01/2015 20:00,96,94,96,86,88,82,80,75,87,93,,,,
07/01/2015 21:00,94,90,95,85,88,84,79,75,86,92,,,,
07/01/2015 22:00,95,87,93,88,89,86,83,76,82,92,,,,
07/01/2015 23:00,93,86,95,87,89,88,82,75,86,94,,,,
08/01/2015 00:00,90,83,91,86,89,88,79,70,88,93,,,,
08/01/2015 01:00,87,81,92,85,88,87,77,69,82,93,,,,
08/01/2015 02:00,85,77,90,81,88,88,73,65,78,92,,,,
08/01/2015 03:00,82,74,85,79,87,86,71,62,73,90,,,,
08/01/2015 04:00,80,76,83,76,85,80,68,65,72,89,,,,
08/01/2015 05:00,82,74,83,75,84,80,68,62,72,85,,,,
08/01/2015 06:00,81,73,79,72,82,78,64,62,71,81,,,,
08/01/2015 07:00,80,73,78,72,78,76,64,59,68,78,,,,
08/01/2015 08:00,80,72,77,73,76,76,65,57,65,76,,,,
08/01/2015 09:00,78,71,76,72,74,77,65,60,65,75,,,,
08/01/2015 10:00,76,69,77,73,75,76,63,73,65,77,,,,
08/01/2015 11:00,76,71,75,73,75,77,61,78,79,76,,,,
08/01/2015 12:00,79,73,75,72,73,76,62,64,84,74,,,,
08/01/2015 13:00,87,73,77,71,72,74,64,71,79,74,,,,
08/01/2015 14:00,93,83,80,72,72,72,67,76,80,75,,,,
08/01/2015 15:00,95,87,87,82,73,71,75,75,80,77,,,,
08/01/2015 16:00,95,88,88,83,76,72,76,76,80,81,,,,
08/01/2015 17:00,95,88,90,85,81,78,77,75,81,85,,,,
08/01/2015 18:00,95,87,91,86,84,81,77,74,82,87,,,,
08/01/2015 19:00,94,84,89,85,85,83,76,71,83,88,,,,
08/01/2015 20:00,95,83,90,84,85,85,76,72,82,88,,,,
08/01/2015 21:00,96,85,91,84,84,86,75,75,83,88,,,,
08/01/2015 22:00,97,86,92,85,83,86,76,78,86,88,,,,
08/01/2015 23:00,97,87,92,86,81,85,78,79,87,88,,,,
09/01/2015 00:00,97,88,90,85,81,83,78,79,87,89,,,,
09/01/2015 01:00,96,88,89,85,83,84,79,78,85,89,,,,
09/01/2015 02:00,94,87,90,84,84,84,80,80,83,89,,,,
09/01/2015 03:00,94,87,91,83,84,85,81,80,82,88,,,,
09/01/2015 04:00,95,87,91,83,85,85,79,81,84,87,,,,
