date,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
01/01/2015 00:00,4.5,2.9,6.1,,,1.7,3.1,,2.5,,,,,
01/01/2015 01:00,3.9,2.3,5.3,,,1.7,3.4,,2.5,,,,,
01/01/2015 02:00,3.2,2.2,4.2,,,1.6,3.3,,2.7,,,,,
01/01/2015 03:00,2.9,2.1,3.8,,,1.6,3.6,,2.7,,,,,
01/01/2015 04:00,2.9,2.2,3.8,,,1.6,3.6,,2.8,,,,,
01/01/2015 05:00,2.9,2.1,3.4,,,1.7,3.5,,2.6,,,,,
01/01/2015 06:00,2.8,2,3.3,,,1.6,3.4,,2.6,,,,,
01/01/2015 07:00,2.7,2.1,3.3,,,1.6,4.8,,2.6,,,,,
01/01/2015 08:00,2.7,2.1,3.4,,,1.6,5.6,,2.7,,,,,
01/01/2015 09:00,2.7,2.1,3.4,,,,11.6,,2.6,,,,,
01/01/2015 10:00,2.6,,3.6,,,,6.7,,2.6,,,,,
01/01/2015 11:00,2.8,,3.6,,,1.7,4.5,,2.6,,,,,
01/01/2015 12:00,2.9,2.5,3.6,,,1.7,4.2,,,,,,,
01/01/2015 13:00,3.1,2.7,3.8,,,1.6,4.6,,4.5,,,,,
01/01/2015 14:00,3.3,3.4,3.9,,,1.7,3.6,,4.7,,,,,
01/01/2015 15:00,3.2,4,3.9,,,1.8,3.9,,3.4,,,,,
01/01/2015 16:00,3.2,3.2,4.1,,,1.8,4.3,,3.3,,,,,
01/01/2015 17:00,3.3,2.7,5,,,1.9,5.3,,3.2,,,,,
01/01/2015 18:00,3.5,2.5,5,,,1.9,3.2,,3.2,,,,,
01/01/2015 19:00,3.3,2.9,4.3,,,1.8,7.8,,3.3,,,,,
01/01/2015 20:00,3.2,2.8,4.3,,,1.8,6.5,,3.1,,,,,
01/01/2015 21:00,3,2.5,4.1,,,1.8,4.8,,3.4,,,,,
01/01/2015 22:00,2.8,2.3,4.1,,,,4.3,,4,,,,,
01/01/2015 23:00,2.7,2.3,3.7,,,,4.1,,3.2,,,,,
02/01/2015 00:00,2.5,2.2,3.7,,,,4.2,,3.1,,,,,
02/01/2015 01:00,2.5,2.1,3.6,,,1.7,5.2,,2.8,,,,,
02/01/2015 02:00,2.6,2.3,3.5,,,1.7,5.2,,2.7,,,,,
02/01/2015 03:00,2.7,2.2,3.5,,,1.7,3.4,,2.6,,,,,
02/01/2015 04:00,3.6,2.1,3.4,,,1.6,3.9,,2.6,,,,,
02/01/2015 05:00,3.1,2.1,3.6,,,1.7,3.5,,2.6,,,,,
02/01/2015 06:00,2.8,2.2,3.9,,,1.7,4.4,,2.7,,,,,
02/01/2015 07:00,2.9,2.1,3.8,,,1.7,4.2,,3.1,,,,,
02/01/2015 08:00,3.1,2.1,4.2,,,1.8,3.9,,3.3,,,,,
02/01/2015 09:00,3.2,3.7,5.9,,,1.8,4.2,,3.6,,,,,
02/01/2015 10:00,3.7,2.8,7,,,1.9,3.7,,3.9,,,,,
02/01/2015 11:00,3.5,4.4,7.8,,,1.8,4.2,,3.8,,,,,
02/01/2015 12:00,3.4,3.5,6.1,,,1.9,4.6,,3.4,,,,,
02/01/2015 13:00,3.1,3,5.1,,,1.9,4.2,,3.6,,,,,
02/01/2015 14:00,3,2.5,4.4,,,2,4.4,,3.6,,,,,
02/01/2015 15:00,3,2.5,4.2,,,2,4.8,,3.6,,,,,
02/01/2015 16:00,3,2.4,4.2,,,1.9,3.5,,3.4,,,,,
02/01/2015 17:00,3.1,2.5,4.3,,,2,6.2,,3.3,,,,,
02/01/2015 18:00,3,2.4,4.1,,,2,7,,3.3,,,,,
02/01/2015 19:00,3.1,2.4,4.2,,,2.1,6.1,,3.4,,,,,
02/01/2015 20:00,3,2.9,4.2,,,2.1,13.3,,3.3,,,,,
02/01/2015 21:00,3.1,3.9,4.1,,,2.1,8.5,,3.2,,,,,
02/01/2015 22:00,3.2,4.6,3.8,,,,7.7,,3.2,,,,,
02/01/2015 23:00,3.4,5,3.8,,,2,7.4,,3.2,,,,,
03/01/2015 00:00,3.7,5.2,3.9,,,1.9,5.5,,3.1,,,,,
03/01/2015 01:00,3.7,3.2,3.7,,,1.8,5.3,,3.1,,,,,
03/01/2015 02:00,4.1,2.6,3.6,,,1.8,8.7,,3.1,,,,,
03/01/2015 03:00,3.9,2.5,3.6,,,1.8,8.4,,3.2,,,,,
03/01/2015 04:00,3.9,2.5,3.5,,,,5.2,,3.1,,,,,
03/01/2015 05:00,3.7,2.4,3.5,,,,4.7,,3.1,,,,,
03/01/2015 06:00,3.8,2.4,3.5,,,1.9,5.2,,3.1,,,,,
03/01/2015 07:00,4.1,2.4,,,,1.9,5.3,,,,,,,
03/01/2015 08:00,4.3,2.5,3.7,,,,6.2,,,,,,,
03/01/2015 09:00,4.2,2.5,3.8,,,,3.1,,,,,,,
03/01/2015 10:00,4.2,2.7,4.1,,,,5,,3.4,,,,,
03/01/2015 11:00,3.7,3,3.9,,,,6.4,,3.4,,,,,
03/01/2015 12:00,3.6,2.6,3.8,,,,6.6,,3.4,,,,,
03/01/2015 13:00,3.3,2.5,3.8,,,1.9,7.3,,,,,,,
03/01/2015 14:00,3.3,2.5,3.9,,,1.9,7,,3.3,,,,,
03/01/2015 15:00,3.5,2.7,4.2,,,2.1,7.6,,3.4,,,,,
03/01/2015 16:00,3.5,2.8,4.2,,,2.1,6.9,,3.6,,,,,
03/01/2015 17:00,4.5,3.9,4.4,,,1.9,5.2,,3.7,,,,,
03/01/2015 18:00,4.7,4.5,5.7,,,1.9,5.4,,3.7,,,,,
03/01/2015 19:00,6.6,3.6,7.4,,,2,6,,3.6,,,,,
03/01/2015 20:00,8.1,3.2,9.3,,,2.2,3.7,,3.5,,,,,
03/01/2015 21:00,8.8,3,8.4,,,2.6,6.1,,3.6,,,,,
