date,SE,NE,CE,NO,SO,NO2,NTE,NE2,SE2,SO2,SE3,SUR,NTE2,NE3
01/01/2015 00:00,5,4,4,6,4,4,5,4,6,4,,,,
01/01/2015 01:00,4,4,4,5,4,4,5,4,6,4,,,,
01/01/2015 02:00,4,4,4,5,4,4,5,4,6,4,,,,
01/01/2015 03:00,4,4,4,5,3,4,5,4,5,4,,,,
01/01/2015 04:00,4,4,4,5,3,4,5,4,5,4,,,,
01/01/2015 05:00,4,4,4,4,3,4,4,4,5,4,,,,
01/01/2015 06:00,4,4,4,4,3,4,4,4,5,4,,,,
01/01/2015 07:00,4,4,4,4,4,4,5,4,5,4,,,,
01/01/2015 08:00,4,4,4,5,4,4,5,4,5,5,,,,
01/01/2015 09:00,5,4,5,5,5,5,5,4,5,5,,,,
01/01/2015 10:00,5,5,5,6,5,6,6,5,6,5,,,,
01/01/2015 11:00,6,6,6,7,6,7,7,7,7,6,,,,
01/01/2015 12:00,7,7,6,7,6,8,7,7,8,6,,,,
01/01/2015 13:00,7,7,7,8,6,8,8,7,7,7,,,,
01/01/2015 14:00,7,7,7,8,6,7,8,7,8,6,,,,
01/01/2015 15:00,8,7,7,8,6,7,8,8,7,7,,,,
01/01/2015 16:00,7,7,7,8,6,7,8,7,7,7,,,,
01/01/2015 17:00,7,7,7,7,6,7,7,7,7,7,,,,
01/01/2015 18:00,7,7,7,7,6,7,7,7,6,7,,,,
01/01/2015 19:00,6,7,6,7,6,6,7,6,6,7,,,,
01/01/2015 20:00,6,6,6,7,6,6,7,6,6,6,,,,
01/01/2015 21:00,5,5,6,6,5,6,6,6,6,6,,,,
01/01/2015 22:00,5,5,5,6,5,6,6,6,6,6,,,,
01/01/2015 23:00,5,5,5,6,5,5,6,5,5,5,,,,
02/01/2015 00:00,5,5,5,6,5,5,6,5,5,5,,,,
02/01/2015 01:00,5,5,5,6,5,5,5,5,5,5,,,,
02/01/2015 02:00,5,5,5,6,4,5,5,5,5,5,,,,
02/01/2015 03:00,5,4,5,5,4,4,5,5,6,5,,,,
02/01/2015 04:00,5,4,5,5,4,4,5,5,6,4,,,,
02/01/2015 05:00,5,4,4,5,4,4,5,5,5,4,,,,
02/01/2015 06:00,5,4,4,5,4,4,5,5,5,4,,,,
02/01/2015 07:00,5,4,4,5,4,4,5,5,6,4,,,,
02/01/2015 08:00,5,5,5,5,4,4,5,5,6,5,,,,
02/01/2015 09:00,5,5,5,5,4,5,5,6,7,5,,,,
02/01/2015 10:00,6,6,6,6,4,5,6,7,7,5,,,,
02/01/2015 11:00,6,7,6,7,5,5,6,8,7,6,,,,
02/01/2015 12:00,7,7,7,7,5,6,8,8,7,6,,,,
02/01/2015 13:00,7,8,7,8,6,6,8,8,7,6,,,,
02/01/2015 14:00,7,7,7,8,6,7,9,7,7,6,,,,
02/01/2015 15:00,7,7,7,8,6,7,8,7,7,7,,,,
02/01/2015 16:00,7,7,7,8,6,7,8,7,7,7,,,,
02/01/2015 17:00,6,7,6,7,6,7,8,7,7,6,,,,
02/01/2015 18:00,6,6,6,7,5,6,8,7,7,6,,,,
02/01/2015 19:00,6,6,6,7,5,6,7,7,7,6,,,,
02/01/2015 20:00,6,6,6,7,6,6,7,7,7,6,,,,
02/01/2015 21:00,6,6,6,7,6,6,7,7,7,6,,,,
02/01/2015 22:00,6,6,6,7,6,6,7,7,7,6,,,,
02/01/2015 23:00,7,6,6,7,6,6,7,7,7,6,,,,
03/01/2015 00:00,7,6,6,7,6,6,7,6,7,7,,,,
03/01/2015 01:00,6,6,6,7,6,7,6,6,7,7,,,,
03/01/2015 02:00,6,6,6,7,6,7,6,6,7,7,,,,
03/01/2015 03:00,6,6,6,7,6,7,7,6,7,7,,,,
03/01/2015 04:00,6,6,7,7,6,7,7,7,7,7,,,,
03/01/2015 05:00,7,7,7,7,6,7,7,7,7,7,,,,
03/01/2015 06:00,7,7,7,8,6,7,8,7,7,7,,,,
03/01/2015 07:00,7,7,7,8,6,6,8,7,7,7,,,,
03/01/2015 08:00,7,7,7,8,6,7,,7,7,7,,,,
03/01/2015 09:00,8,8,8,8,7,7,,7,8,7,,,,
03/01/2015 10:00,8,8,8,9,8,8,,8,8,8,,,,
03/01/2015 11:00,8,8,8,9,8,8,,8,9,8,,,,
03/01/2015 12:00,9,8,9,9,9,8,,9,9,8,,,,
03/01/2015 13:00,9,9,9,10,9,9,9,9,10,9,,,,
03/01/2015 14:00,9,10,9,11,9,10,10,11,10,9,,,,
03/01/2015 15:00,11,13,10,11,9,10,12,13,11,9,,,,
03/01/2015 16:00,13,15,13,13,12,13,13,14,12,11,,,,
03/01/2015 17:00,12,13,11,12,10,12,12,12,11,11,,,,
03/01/2015 18:00,9,10,9,10,9,10,11,11,9,10,,,,
03/01/2015 19:00,8,9,9,9,8,10,10,9,8,9,,,,
03/01/2015 20:00,8,9,8,9,8,9,10,9,7,9,,,,
03/01/2015 21:00,7,8,8,9,8,9,9,9,7,9,,,,
03/01/2015 22:00,7,8,8,9,7,8,9,8,8,9,,,,
03/01/2015 23:00,7,8,8,8,7,8,8,7,8,9,,,,
04/01/2015 00:00,8,7,7,8,7,8,7,7,8,9,,,,
04/01/2015 01:00,9,7,8,8,8,7,7,6,8,8,,,,
04/01/2015 02:00,9,7,9,10,8,8,8,7,8,8,,,,
04/01/2015 03:00,9,8,9,11,9,8,9,7,9,8,,,,
04/01/2015 04:00,9,7,9,11,8,7,9,8,8,9,,,,
04/01/2015 05:00,9,8,11,10,9,8,10,8,8,10,,,,
04/01/2015 06:00,9,7,11,10,9,7,11,8,8,10,,,,
04/01/2015 07:00,9,9,10,9,10,7,11,9,9,10,,,,
04/01/2015 08:00,10,11,11,10,10,8,14,10,11,11,,,,
04/01/2015 09:00,13,13,15,13,11,11,15,12,12,14,,,,
04/01/2015 10:00,16,15,16,16,14,14,17,15,15,14,,,,
04/01/2015 11:00,17,16,16,16,15,16,17,17,18,15,,,,
04/01/2015 12:00,18,16,16,16,15,16,17,17,19,16,,,,
04/01/2015 13:00,17,17,17,17,15,16,17,17,19,16,,,,
04/01/2015 14:00,17,17,17,17,15,16,17,18,20,16,,,,
04/01/2015 15:00,18,17,17,17,15,16,17,18,20,16,,,,
04/01/2015 16:00,18,17,17,17,15,15,17,18,18,16,,,,
04/01/2015 17:00,16,15,15,15,14,14,15,16,16,15,,,,
04/01/2015 18:00,14,14,14,14,13,12,14,14,14,14,,,,
04/01/2015 19:00,13,13,13,13,12,11,13,13,13,13,,,,
04/01/2015 20:00,12,12,12,13,11,11,12,13,12,12,,,,
04/01/2015 21:00,11,11,12,11,11,10,11,12,11,12,,,,
04/01/2015 22:00,10,10,11,10,10,10,10,11,11,11,,,,
04/01/2015 23:00,10,11,10,10,10,9,10,11,11,11,,,,
05/01/2015 00:00,10,10,10,10,9,9,10,11,10,10,,,,
05/01/2015 01:00,10,10,10,10,9,9,10,10,10,10,,,,
05/01/2015 02:00,9,9,10,9,9,8,10,9,9,10,,,,
05/01/2015 03:00,9,9,9,9,8,8,9,9,9,9,,,,
05/01/2015 04:00,9,8,9,9,7,7,9,9,9,8,,,,
05/01/2015 05:00,8,8,8,9,7,7,9,9,8,8,,,,
05/01/2015 06:00,8,7,8,8,7,7,8,8,8,8,,,,
05/01/2015 07:00,7,7,7,8,6,6,8,8,8,7,,,,
05/01/2015 08:00,7,7,7,8,6,7,8,8,8,7,,,,
05/01/2015 09:00,8,8,8,8,8,8,8,8,8,8,,,,
05/01/2015 10:00,9,9,10,9,10,10,9,9,9,10,,,,
05/01/2015 11:00,10,10,11,12,11,12,11,11,11,10,,,,
05/01/2015 12:00,11,11,12,12,11,12,12,12,12,11,,,,
05/01/2015 13:00,13,13,12,12,11,12,13,13,12,11,,,,
05/01/2015 14:00,13,13,12,12,11,12,13,13,13,11,,,,
05/01/2015 15:00,13,12,12,12,11,12,13,13,13,11,,,,
05/01/2015 16:00,12,12,12,12,11,12,,13,13,11,,,,
05/01/2015 17:00,12,12,12,12,11,11,12,12,12,11,,,,
05/01/2015 18:00,11,11,11,11,10,10,12,11,11,11,,,,
05/01/2015 19:00,10,10,10,11,9,9,11,11,10,10,,,,
05/01/2015 20:00,10,10,10,10,9,9,11,10,10,10,,,,
05/01/2015 21:00,9,9,10,10,9,9,10,9,9,10,,,,
05/01/2015 22:00,9,9,10,10,8,9,10,9,9,9,,,,
05/01/2015 23:00,8,9,9,9,8,8,9,9,9,9,,,,
06/01/2015 00:00,8,9,9,9,8,8,9,9,9,9,,,,
06/01/2015 01:00,8,8,9,9,9,8,9,9,9,9,,,,
06/01/2015 02:00,8,8,9,9,8,8,9,8,9,9,,,,
06/01/2015 03:00,8,8,8,8,8,9,9,8,8,9,,,,
06/01/2015 04:00,8,8,8,8,8,8,8,8,8,8,,,,
06/01/2015 05:00,8,8,8,8,8,7,8,8,8,8,,,,
06/01/2015 06:00,7,8,8,8,8,7,8,8,8,8,,,,
06/01/2015 07:00,7,8,8,8,7,8,8,8,8,8,,,,
06/01/2015 08:00,8,8,8,8,8,8,9,9,9,8,,,,
06/01/2015 09:00,10,10,11,10,12,10,11,10,10,10,,,,
06/01/2015 10:00,11,12,12,11,13,14,12,11,11,12,,,,
06/01/2015 11:00,13,14,15,15,16,17,14,13,13,14,,,,
06/01/2015 12:00,16,16,17,17,17,19,16,16,15,16,,,,
06/01/2015 13:00,16,17,18,18,18,21,17,16,16,17,,,,
06/01/2015 14:00,17,17,17,18,18,19,18,18,17,17,,,,
06/01/2015 15:00,17,17,17,18,16,17,18,18,17,17,,,,
06/01/2015 16:00,17,17,17,17,16,17,18,17,17,16,,,,
06/01/2015 17:00,16,16,16,16,15,16,17,17,17,16,,,,
06/01/2015 18:00,15,15,15,16,14,15,16,16,16,15,,,,
06/01/2015 19:00,14,14,14,15,14,14,16,16,15,14,,,,
06/01/2015 20:00,14,15,14,15,13,14,15,15,15,14,,,,
06/01/2015 21:00,14,14,14,14,13,13,15,14,14,14,,,,
06/01/2015 22:00,13,13,13,14,12,13,14,14,13,13,,,,
06/01/2015 23:00,12,13,12,13,12,12,14,13,13,13,,,,
07/01/2015 00:00,12,12,12,12,11,12,13,12,13,12,,,,
07/01/2015 01:00,12,12,12,12,11,11,13,12,12,12,,,,
07/01/2015 02:00,11,11,11,12,11,11,13,12,12,12,,,,
07/01/2015 03:00,11,12,11,12,11,11,12,12,12,12,,,,
07/01/2015 04:00,11,11,11,12,11,11,12,12,12,12,,,,
07/01/2015 05:00,11,11,11,12,11,11,13,12,12,12,,,,
07/01/2015 06:00,11,12,11,12,11,11,13,12,12,12,,,,
07/01/2015 07:00,11,12,11,12,10,11,13,12,13,12,,,,
07/01/2015 08:00,12,12,12,12,11,11,13,13,13,12,,,,
07/01/2015 09:00,14,14,14,14,13,13,14,13,14,13,,,,
07/01/2015 10:00,17,17,17,16,14,14,16,15,15,15,,,,
07/01/2015 11:00,17,18,18,17,15,14,18,16,15,16,,,,
07/01/2015 12:00,18,18,18,18,18,16,18,17,16,17,,,,
07/01/2015 13:00,18,18,18,17,18,19,17,16,16,17,,,,
07/01/2015 14:00,17,16,17,16,16,18,16,14,15,16,,,,
